# p00 p10 p01 p11 rho0
0.16163672 0.00000001 0.83795399 0.00040928 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01300790 0.11033924 0.84616386 0.03048899 0.00000000
0.01769225 0.06157617 0.90546517 0.01526640 0.00000000
0.02268259 0.03229461 0.92760695 0.01741585 0.00000000
0.08912239 0.03770610 0.85904331 0.01412821 0.00000000
0.08912239 0.03770610 0.85904331 0.01412821 0.00000000
0.08912239 0.03770610 0.85904331 0.01412821 0.00000000
0.08912239 0.03770610 0.85904331 0.01412821 0.00000000
0.10611007 0.02806051 0.85959993 0.00622949 0.00000000
0.10611007 0.02806051 0.85959993 0.00622949 0.00000000
0.10611007 0.02806051 0.85959993 0.00622949 0.00000000
0.10611007 0.02806051 0.85959993 0.00622949 0.00000000
0.06489886 0.01567928 0.90719082 0.01223105 0.00000000
0.06489886 0.01567928 0.90719082 0.01223105 0.00000000
0.06489886 0.01567928 0.90719082 0.01223105 0.00000000
0.06716966 0.01483563 0.91062828 0.00736643 0.00000000
0.06716966 0.01483563 0.91062828 0.00736643 0.00000000
0.06716966 0.01483563 0.91062828 0.00736643 0.00000000
0.06716966 0.01483563 0.91062828 0.00736643 0.00000000
0.06716966 0.01483563 0.91062828 0.00736643 0.00000000
0.06716966 0.01483563 0.91062828 0.00736643 0.00000000
0.06047081 0.00964864 0.92533424 0.00454631 0.00000000
0.06047081 0.00964864 0.92533424 0.00454631 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
0.07055519 0.00171938 0.92485745 0.00286798 0.00000000
