# p00 p10 p01 p11 rho0
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05371659 0.93607684 0.00003362 0.01017295 0.00000000
0.05371659 0.93607684 0.00003362 0.01017295 0.00000000
0.05371659 0.93607684 0.00003362 0.01017295 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.04626346 0.94360560 0.00237633 0.00775462 0.00000000
0.05053095 0.93783276 0.00599122 0.00564507 0.00000000
0.05053095 0.93783276 0.00599122 0.00564507 0.00000000
0.05053095 0.93783276 0.00599122 0.00564507 0.00000000
0.05053095 0.93783276 0.00599122 0.00564507 0.00000000
