# p00 p10 p01 p11 rho0
0.16163672 0.00000001 0.83795399 0.00040928 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.01095376 0.08385519 0.88464511 0.02054595 0.00000000
0.00996304 0.07383359 0.89671820 0.01948517 0.00000000
0.00996304 0.07383359 0.89671820 0.01948517 0.00000000
0.00996304 0.07383359 0.89671820 0.01948517 0.00000000
0.04171012 0.03751843 0.90546996 0.01530149 0.00000000
0.04171012 0.03751843 0.90546996 0.01530149 0.00000000
0.08717174 0.02735618 0.86960159 0.01587049 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.05597238 0.01197535 0.91163941 0.02041286 0.00000000
0.04597451 0.00911661 0.92967819 0.01523069 0.00000000
0.04597451 0.00911661 0.92967819 0.01523069 0.00000000
0.04597451 0.00911661 0.92967819 0.01523069 0.00000000
0.04597451 0.00911661 0.92967819 0.01523069 0.00000000
0.06615027 0.00052940 0.92486976 0.00845058 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.03975243 0.00007756 0.94769998 0.01247003 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
0.04912194 0.00000205 0.93292458 0.01795144 0.00000000
