# p00 p10 p01 p11 rho0
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.07242747 0.88231300 0.00066313 0.04459640 0.00000000
0.07242747 0.88231300 0.00066313 0.04459640 0.00000000
0.07242747 0.88231300 0.00066313 0.04459640 0.00000000
0.07242747 0.88231300 0.00066313 0.04459640 0.00000000
0.07242747 0.88231300 0.00066313 0.04459640 0.00000000
0.08429818 0.86992677 0.00267663 0.04309842 0.00000000
0.08429818 0.86992677 0.00267663 0.04309842 0.00000000
0.08429818 0.86992677 0.00267663 0.04309842 0.00000000
0.13730107 0.82611323 0.00349067 0.03309502 0.00000000
0.17786254 0.79225569 0.00195401 0.02792776 0.00000000
0.17786254 0.79225569 0.00195401 0.02792776 0.00000000
0.17786254 0.79225569 0.00195401 0.02792776 0.00000000
0.17786254 0.79225569 0.00195401 0.02792776 0.00000000
0.21845597 0.74032635 0.00557642 0.03564126 0.00000000
0.27683872 0.69757736 0.00323751 0.02234641 0.00000000
0.37816329 0.59781134 0.00566261 0.01836276 0.00000000
0.37816329 0.59781134 0.00566261 0.01836276 0.00000000
0.33672937 0.63404356 0.00219237 0.02703470 0.00000000
0.33672937 0.63404356 0.00219237 0.02703470 0.00000000
0.37215909 0.55822892 0.01595262 0.05365937 0.00000000
0.37215909 0.55822892 0.01595262 0.05365937 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.39461181 0.55283741 0.01639052 0.03616026 0.00000000
0.44232277 0.49875621 0.02168487 0.03723616 0.00000000
0.43833748 0.49726695 0.01715420 0.04724137 0.00000000
0.43833748 0.49726695 0.01715420 0.04724137 0.00000000
0.43833748 0.49726695 0.01715420 0.04724137 0.00000000
0.47071895 0.48727278 0.01336628 0.02864198 0.00000000
0.47071895 0.48727278 0.01336628 0.02864198 0.00000000
0.50727995 0.46600165 0.00956663 0.01715176 0.00000000
0.48402930 0.46586347 0.01753064 0.03257659 0.00000000
0.48408999 0.44859178 0.01465315 0.05266509 0.00000000
0.48408999 0.44859178 0.01465315 0.05266509 0.00000000
0.48977338 0.45037601 0.00837497 0.05147564 0.00000000
0.48977338 0.45037601 0.00837497 0.05147564 0.00000000
0.48977338 0.45037601 0.00837497 0.05147564 0.00000000
0.48977338 0.45037601 0.00837497 0.05147564 0.00000000
0.51400626 0.45393753 0.00101411 0.03104209 0.00000000
0.51258653 0.45405526 0.00011265 0.03324557 0.00000000
0.53736255 0.41588673 0.00000078 0.04674994 0.00000000
0.53736255 0.41588673 0.00000078 0.04674994 0.00000000
0.59393986 0.34125122 0.00000000 0.06480893 0.00000000
0.59393986 0.34125122 0.00000000 0.06480893 0.00000000
0.59393986 0.34125122 0.00000000 0.06480893 0.00000000
0.65884513 0.27225805 0.00006707 0.06882974 0.00000000
0.65926811 0.29875013 0.00008441 0.04189736 0.00000000
