# p00 p10 p01 p11 rho0
0.16163672 0.00000001 0.83795399 0.00040928 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.02470342 0.14249576 0.81263344 0.02016737 0.00000000
0.01705750 0.09012748 0.86911407 0.02370095 0.00000000
0.01609648 0.04871465 0.90513634 0.03005252 0.00000000
0.01609648 0.04871465 0.90513634 0.03005252 0.00000000
0.01948095 0.03108129 0.92534614 0.02409163 0.00000000
0.01948095 0.03108129 0.92534614 0.02409163 0.00000000
0.01738234 0.01714284 0.94047827 0.02499656 0.00000000
0.01738234 0.01714284 0.94047827 0.02499656 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.01002971 0.01410740 0.95535571 0.02050718 0.00000000
0.00336416 0.00575073 0.97051271 0.02037240 0.00000000
0.00336416 0.00575073 0.97051271 0.02037240 0.00000000
0.00336416 0.00575073 0.97051271 0.02037240 0.00000000
0.00336416 0.00575073 0.97051271 0.02037240 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
0.00004387 0.00196947 0.98092539 0.01706127 0.00000000
