# p00 p10 p01 p11 rho0
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.03386867 0.96570349 0.00042480 0.00000304 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.05391839 0.92070282 0.00089850 0.02448029 0.00000000
0.06411664 0.90987144 0.00298579 0.02302613 0.00000000
0.06411664 0.90987144 0.00298579 0.02302613 0.00000000
0.06411664 0.90987144 0.00298579 0.02302613 0.00000000
0.06411664 0.90987144 0.00298579 0.02302613 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08990181 0.89005021 0.00166147 0.01838651 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.08561547 0.89073239 0.00192778 0.02172435 0.00000000
0.13300969 0.84396194 0.00075668 0.02227169 0.00000000
0.13300969 0.84396194 0.00075668 0.02227169 0.00000000
0.13300969 0.84396194 0.00075668 0.02227169 0.00000000
